风景,#genre#
第一财经,http://a1live.livecdn.yicai.com/live/radio_tv.m3u8,tvming-CBNHD
东方卫视,http://satellitepull.cnr.cn/live/wx32dfws/playlist.m3u8,tvming-SHDongFangTV
CCTV1 综合,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8,tvming-NULL
CCTV2 财经,https://piccpndali.v.myalicdn.cdn.com/audio/cctv5plus_2.m3u8,tvming-NULL
CCTV9 纪录,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8,tvming-NULL
CCTV10 科教,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8,tvming-NULL
CCTV12 社会与法,https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8,tvming-NULL
CCTV13 新闻,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8,tvming-NULL
CCTV15 音乐,https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8,tvming-NULL
CCTV16 奥林匹克,https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8,tvming-NULL
CGTN,http://stream.zeno.fm/ambvmys65rquv,tvming-CCTVEN

