财经广播,#genre#
第一财经电视,http://a1live.livecdn.yicai.com/live/radio_tv.m3u8
第一财经广播,http://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8

港澳台,#genre#
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
CityFM台北健康,http://fm901.cityfm.tw:8080/901.mp3
CityFM台南知音,http://fm971.cityfm.tw:8080/971.mp3
CityFM城市广播,http://fm929.cityfm.tw:8080/929.mp3
CityFM大苗栗广播,http://fm983.cityfm.tw:8080/983.mp3
台北广播电台AM1134,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/am/playlist.m3u8
台北广播电台FM93.1,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
台中广播电台,http://211.20.119.101:8081
CNR香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8

海外,#genre#
VOA Global English,http://voa-ingest.akamaized.net/hls/live/2035200/161_352R/playlist.m3u8
美国之音,https://voa-ingest.akamaized.net/hls/live/2035206/151_124L/playlist.m3u8
阿里郎电台,https://amdlive-ch03-ctnd-com.akamaized.net/arirang_3ch/smil:arirang_3ch.smil/playlist.m3u8
太阳电台,http://211.20.119.102:8081
正义电台,http://211.20.119.103:8081
自由亚洲电台,https://rfa-ingest.akamaized.net/hls/live/2040699/RFA_AUDIO_LIVE1/master.m3u8
BBC News,https://utulsa.streamguys1.com/KWGSHD3-MP3
BBC Radio 1,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_one/bbc_radio_one.isml/bbc_radio_one-audio=320000.m3u8
BBC Radio 1 Dance,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_one_dance/bbc_radio_one_dance.isml/bbc_radio_one_dance-audio=320000.m3u8
BBC Radio 1 relax,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_one_relax/bbc_radio_one_relax.isml/bbc_radio_one_relax-audio=320000.m3u8
BBC Radio 1 Xtra,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_1xtra/bbc_1xtra.isml/bbc_1xtra-audio=320000.m3u8
BBC Radio 2,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_two/bbc_radio_two.isml/bbc_radio_two-audio=320000.m3u8
BBC Radio 3,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_three/bbc_radio_three.isml/bbc_radio_three-audio=320000.m3u8
BBC Radio 3,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_three/bbc_radio_three.isml/bbc_radio_three-audio=320000.m3u8
BBC Radio 4,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_fourfm/bbc_radio_fourfm.isml/bbc_radio_fourfm-audio=320000.m3u8
BBC Radio 4 Extra,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_four_extra/bbc_radio_four_extra.isml/bbc_radio_four_extra-audio=320000.m3u8
BBC Radio 6,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_6music/bbc_6music.isml/bbc_6music-audio=320000.m3u8
BBC World Service,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_world_service/bbc_world_service.isml/bbc_world_service-audio=320000.m3u8
Big B Radio - 日语流行,http://jpop.bigbradio.net/s
Big B Radio - 中文流行,http://cpop.bigbradio.net/s
CAPITAL 958,https://19183.live.streamtheworld.com/CAPITAL958FM_PREM.aac
CNA938,http://playerservices.streamtheworld.com/api/livestream-redirect/938NOW_PREM.aac
CNA938,https://14033.live.streamtheworld.com/938NOW_PREM.aac
LOVE 972,https://14033.live.streamtheworld.com/LOVE972FM_PREM.aac
MSNBC Radio,http://peridot.streamguys.com:7850/live
